[2J[HCONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT   MEM %     NET I/O   BLOCK I/O   PIDS
8e9bbde054a8   redis_test_50   173.18%   85.63MiB / 15.64GiB   0.53%     736B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   173.18%   85.63MiB / 15.64GiB   0.53%     736B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   180.51%   92.24MiB / 15.64GiB   0.58%     806B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   180.51%   92.24MiB / 15.64GiB   0.58%     806B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   171.56%   92.65MiB / 15.64GiB   0.58%     806B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   171.56%   92.65MiB / 15.64GiB   0.58%     806B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   181.00%   92.44MiB / 15.64GiB   0.58%     806B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   181.00%   92.44MiB / 15.64GiB   0.58%     806B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   180.45%   92.39MiB / 15.64GiB   0.58%     806B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   180.45%   92.39MiB / 15.64GiB   0.58%     806B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   175.32%   88.45MiB / 15.64GiB   0.55%     806B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   175.32%   88.45MiB / 15.64GiB   0.55%     806B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   183.75%   88.6MiB / 15.64GiB   0.55%     806B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   183.75%   88.6MiB / 15.64GiB   0.55%     806B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   183.35%   88.46MiB / 15.64GiB   0.55%     806B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   183.35%   88.46MiB / 15.64GiB   0.55%     806B / 0B   0B / 0B     6
8e9bbde054a8   redis_test_50   167.48%   85.92MiB / 15.64GiB   0.54%     806B / 0B   0B / 0B     5
8e9bbde054a8   redis_test_50   167.48%   85.92MiB / 15.64GiB   0.54%     806B / 0B   0B / 0B     5

a70efd518cc2   redis_test_100   0.03%     1.227MiB / 15.64GiB   0.01%     200B / 0B   0B / 0B     1
a70efd518cc2   redis_test_100   0.03%     1.227MiB / 15.64GiB   0.01%     200B / 0B   0B / 0B     1
a70efd518cc2   redis_test_100   144.00%   26.17MiB / 15.64GiB   0.16%     486B / 0B   0B / 0B     6
